,Name,Gender,first_name,last_name,world_gender,world_percent,jurisdiction_1,jurisdiction_1_gender,jurisdiction_1_percent
213,tsohuyi,Male,tsohuyi,,m,100,India,m,100
214,pili,Male,pili,,f,92,Tanzania,f,99
215,"p langphong wanme!",Male,p,"langphong wanme!",m,79,India,m,75
216,saluto,Male,saluto,,m,94,India,m,100
217,"lovungi ovung",Female,lovungi,ovung,f,100,India,f,100
218,"tohuka awomi",Male,tohuka,awomi,m,100,India,m,100
219,ramsalak,Female,ramsalak,,f,100,India,f,100
220,"peiwang konyak",Male,peiwang,konyak,m,89,India,m,100
221,"gamwang wangham",Male,gamwang,wangham,m,100,India,m,100
222,"sabita kumari singh",Female,sabita,"kumari singh",f,100,India,f,100
223,"sombhu lama",Male,sombhu,lama,m,99,India,m,100
224,"yaniak ebiya",Female,yaniak,ebiya,f,99,India,f,100
225,"susmita bose",Female,susmita,bose,f,100,India,f,100
226,"anonto modi",Male,anonto,modi,m,99,India,m,100
227,"johny lipiangju",Male,johny,lipiangju,m,98,Philippines,m,99
228,"rabi paik",Male,rabi,paik,f,57,India,m,99
229,"rinya basar bam",Female,rinya,"basar bam",f,86,India,f,90
230,"bepi legu",Female,bepi,legu,f,81,"Papua New Guinea",f,85
231,"tachak neing",Male,tachak,neing,m,100,India,m,100
232,"mekhya nampe",Female,mekhya,nampe,f,100,India,f,100
233,"adit| gogoi",Female,adit|,gogoi,m,86,India,m,99
234,"mihin habung",Male,mihin,habung,m,75,India,m,82
235,"other's  : ebo miche",Female,other's," : ebo miche",,,,,
236,"charu lotak",Male,charu,lotak,f,89,India,f,89
237,"loli taku",Male,loli,taku,f,83,India,f,88
238,"onung lego",Female,onung,lego,f,91,India,f,100
239,"igul yao",Female,igul,yao,f,76,India,f,75
